,0
0,-1
1,13
2,13
3,10
4,10
5,10
6,10
7,10
8,17
9,18
10,0
11,3
12,-1
13,17
14,-1
15,10
16,-1
17,10
18,10
19,18
20,13
21,-1
22,8
23,17
24,17
25,17
26,17
27,17
28,17
29,10
30,17
31,10
32,18
33,18
34,18
35,-1
36,17
37,17
38,17
39,17
40,-1
41,18
42,18
43,17
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,0
53,18
54,18
55,18
56,18
57,18
58,18
59,18
60,10
61,18
62,18
63,18
64,18
65,0
66,0
67,18
68,18
69,1
70,1
71,18
72,18
73,10
74,17
75,-1
76,-1
77,1
78,11
79,1
80,1
81,1
82,1
83,1
84,1
85,-1
86,-1
87,-1
88,-1
89,18
90,10
91,1
92,15
93,14
94,14
95,14
96,14
97,7
98,18
99,17
100,12
101,-1
102,1
103,10
104,12
105,18
106,4
107,4
108,4
109,4
110,4
111,18
112,10
113,15
114,12
115,1
116,18
117,16
118,7
119,4
120,4
121,4
122,15
123,10
124,10
125,10
126,18
127,10
128,18
129,18
130,10
131,-1
132,18
133,10
134,18
135,10
136,10
137,10
138,10
139,10
140,18
141,2
142,-1
143,3
144,18
145,15
146,18
147,17
148,-1
149,7
150,18
151,18
152,18
153,18
154,10
155,10
156,10
157,10
158,18
159,18
160,18
161,18
162,-1
163,18
164,10
165,-1
166,17
167,17
168,10
169,-1
170,17
171,17
172,17
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,4
189,8
190,10
191,10
192,18
193,10
194,1
195,1
196,16
197,1
198,1
199,10
200,10
201,10
202,10
203,16
204,1
205,18
206,18
207,17
208,18
209,17
210,17
211,3
212,17
213,17
214,17
215,4
216,-1
217,1
218,17
219,-1
220,17
221,-1
222,10
223,10
224,10
225,10
226,10
227,18
228,16
229,16
230,-1
231,-1
232,10
233,10
234,10
235,7
236,10
237,1
238,18
239,10
240,10
241,10
242,18
243,10
244,10
245,10
246,10
247,10
248,10
249,18
250,2
251,18
252,10
253,10
254,10
255,10
256,10
257,15
258,10
259,15
260,15
261,18
262,17
263,5
264,-1
265,5
266,5
267,5
268,5
269,4
270,5
271,4
272,4
273,-1
274,-1
275,12
276,-1
277,10
278,13
279,4
280,18
281,0
282,0
283,17
284,10
285,-1
286,16
287,17
288,18
289,10
290,10
291,10
292,2
293,18
294,2
295,15
296,14
297,10
298,13
299,0
300,0
301,13
302,13
303,-1
304,4
305,10
306,10
307,18
308,15
309,2
310,18
311,18
312,2
313,4
314,4
315,1
316,1
317,4
318,10
319,10
320,10
321,2
322,7
323,7
324,7
325,4
326,4
327,1
328,1
329,18
330,2
331,2
332,2
333,2
334,13
335,14
336,14
337,14
338,15
339,13
340,14
341,-1
342,7
343,2
344,-1
345,0
346,2
347,10
348,18
349,18
350,18
351,2
352,2
353,5
354,5
355,10
356,4
357,5
358,5
359,5
360,5
361,2
362,18
363,18
364,18
365,5
366,5
367,2
368,18
369,18
370,-1
371,-1
372,5
373,13
374,5
375,5
376,6
