"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"78NY5WR8","report","2009","Settles, Burr","Active Learning Literature Survey","","","","","https://minds.wisconsin.edu/handle/1793/60660","The key idea behind active learning is that a machine learning algorithm can achieve greater accuracy with fewer labeled training instances if it is allowed to choose the training data from which is learns. An active learner may ask queries in the form of unlabeled instances to be labeled by an oracle (e.g., a human annotator). Active learning is well-motivated in many modern machine learning problems, where unlabeled data may be abundant but labels are difficult, time-consuming, or expensive to obtain.    This report provides a general introduction to active learning and a survey of the literature. This includes a discussion of the scenarios in which queries can be formulated, and an overview of the query strategy frameworks proposed in the literature to date. An analysis of the empirical and theoretical evidence for active learning, a summary of several problem setting variants, and a discussion of related topics in machine learning research are also presented.","2009","2022-09-17 13:55:35","2024-07-28 20:21:19","2022-09-17 13:55:35","","","","","","","","","","","","University of Wisconsin-Madison Department of Computer Sciences","","en","","Technical Report","","","minds.wisconsin.edu","","Accepted: 2012-03-15T17:23:56Z","","C:\Users\isido\Zotero\storage\XZAZ8M6G\Settles - 2009 - Active Learning Literature Survey.pdf; C:\Users\isido\Zotero\storage\A9QXPGLH\60660.html","","active learning; machine learning; ♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5L3JNZM","preprint","2020","Baier, Lucas; Kellner, Vincent; Kühl, Niklas; Satzger, Gerhard","Switching Scheme: A Novel Approach for Handling Incremental Concept Drift in Real-World Data Sets","","","","","http://arxiv.org/abs/2011.02738","Machine learning models nowadays play a crucial role for many applications in business and industry. However, models only start adding value as soon as they are deployed into production. One challenge of deployed models is the effect of changing data over time, which is often described with the term concept drift. Due to their nature, concept drifts can severely affect the prediction performance of a machine learning system. In this work, we analyze the effects of concept drift in the context of a real-world data set. For efﬁcient concept drift handling, we introduce the switching scheme which combines the two principles of retraining and updating of a machine learning model. Furthermore, we systematically analyze existing regular adaptation as well as triggered adaptation strategies. The switching scheme is instantiated on New York City taxi data, which is heavily inﬂuenced by changing demand patterns over time. We can show that the switching scheme outperforms all other baselines and delivers promising prediction results.","2020-11-05","2022-09-17 15:26:45","2024-07-28 20:21:29","2022-09-17 15:26:45","","","","","","","Switching Scheme","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2011.02738 [cs]","Comment: 54th Annual Hawaii International Conference on System Sciences (HICSS-54)","C:\Users\isido\Zotero\storage\4SZGPPN7\Baier e.a. - 2020 - Switching Scheme A Novel Approach for Handling In.pdf","","machine learning; ♥","","","","","","","","","","","","","","","","","","","","arXiv:2011.02738","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3AK4YYB","preprint","2022","Mayaki, Mansour Zoubeirou A.; Riveill, Michel","Autoregressive based Drift Detection Method","","","","","http://arxiv.org/abs/2203.04769","In the classic machine learning framework, models are trained on historical data and used to predict future values. It is assumed that the data distribution does not change over time (stationarity). However, in real-world scenarios, the data generation process changes over time and the model has to adapt to the new incoming data. This phenomenon is known as concept drift and leads to a decrease in the predictive model’s performance. In this study, we propose a new concept drift detection method based on autoregressive models called ADDM. This method can be integrated into any machine learning algorithm from deep neural networks to simple linear regression model. Our results show that this new concept drift detection method outperforms the state-of-the-art drift detection methods, both on synthetic data sets and real-world data sets. Our approach is theoretically guaranteed as well as empirical and effective for the detection of various concept drifts. In addition to the drift detector, we proposed a new method of concept drift adaptation based on the severity of the drift.","2022-03-09","2022-09-17 15:33:30","2024-07-28 20:21:32","2022-09-17 15:33:30","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2203.04769 [cs, stat]","","C:\Users\isido\Zotero\storage\54YTNIWQ\Mayaki en Riveill - 2022 - Autoregressive based Drift Detection Method.pdf","","machine learning; ♥","","","","","","","","","","","","","","","","","","","","arXiv:2203.04769","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XL4WKTRT","journalArticle","2009","Sabelfeld, K.; Mozartova, N.","Sparsified Randomization Algorithms for large systems of linear equations and a new version of the Random Walk on Boundary method","Monte Carlo Methods and Applications","","0929-9629, 1569-3961","10.1515/MCMA.2009.015","https://www.degruyter.com/document/doi/10.1515/MCMA.2009.015/html","Sparsiﬁed Randomization Monte Carlo (SRMC) algorithms for solving large systems of linear algebraic equations are presented. We construct efﬁcient stochastic algorithms based on a probabilistic sampling of small size sub-matrices, or a randomized evaluation of a matrix-vector product and matrix iterations via a random sparsiﬁcation of the matrix. This approach is beyond the standard Markov chain based Neumann–Ulam method which has no universal instrument to decrease the variance. Instead, in the new method, ﬁrst, the variance can be decreased by increasing the number of the sampled columns of the matrix in play, and second, it is free of the restricted assumption of the Neumann–Ulam scheme that the Neumann series converges. We apply the developed methods to different stochastic iterative procedures. Application to boundary integral equation of the electrostatic potential theory is given where we develop a SRMC algorithm for solving the approximated system of linear algebraic equations, and compare it with the standard Random Walk on Boundary method.","2009-01","2022-09-17 17:35:35","2024-07-28 20:30:28","2022-09-17 17:35:35","","","3","15","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p>Inspiration for coupled splitting (method for fredholm equations)</p> </div>","C:\Users\isido\Zotero\storage\YBMLVR26\Sabelfeld en Mozartova - 2009 - Sparsified Randomization Algorithms for large syst.pdf","","monte carlo; linear systems; random linear algebra; ♥♥♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMLGC6M2","journalArticle","2017","Benzi, Michele; Evans, Thomas M.; Hamilton, Steven P.; Lupo Pasini, Massimiliano; Slattery, Stuart R.","Analysis of Monte Carlo accelerated iterative methods for sparse linear systems","Numerical Linear Algebra with Applications","","1070-5325, 1099-1506","10.1002/nla.2088","https://onlinelibrary.wiley.com/doi/10.1002/nla.2088","We consider hybrid deterministic-stochastic iterative algorithms for the solution of large, sparse linear systems. Starting from a convergent splitting of the coeﬃcient matrix, we analyze various types of Monte Carlo acceleration schemes applied to the original preconditioned Richardson (stationary) iteration. These methods are expected to have considerable potential for resiliency to faults when implemented on massively parallel machines. We establish suﬃcient conditions for the convergence of the hybrid schemes, and we investigate diﬀerent types of preconditioners including sparse approximate inverses. Numerical experiments on linear systems arising from the discretization of partial diﬀerential equations are presented.","2017-05","2022-09-17 17:35:37","2024-07-28 20:24:15","2022-09-17 17:35:37","","","3","24","","Numer. Linear Algebra Appl.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\ZL2JBC57\Benzi e.a. - 2017 - Analysis of Monte Carlo accelerated iterative meth.pdf","","monte carlo; linear systems; random linear algebra; ♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMTYA6IM","journalArticle","2019","Wu, Tao; Gleich, David F.","Multiway Monte Carlo Method for Linear Systems","SIAM Journal on Scientific Computing","","1064-8275, 1095-7197","10.1137/18M121527X","https://epubs.siam.org/doi/10.1137/18M121527X","We study a novel variation on the Ulam–von Neumann Monte Carlo method for solving a linear system. This is an old randomized procedure that results from using a random walk to stochastically evaluate terms in the Neumann series. In order to apply this procedure, the variance of the stochastic estimator needs to be bounded. The best known suﬃcient condition for bounding the variance is that the inﬁnity norm of the matrix in the Neumann series is smaller than one, which greatly limits the usability of this method. We improve this condition by proposing a new stochastic estimator based on a diﬀerent type of random walk. Our multiway walk and estimator is based on a time-inhomogeneous Markov process that iterates through a sequence of transition matrices built from the original linear system. For our new method, we prove that a necessary and suﬃcient condition for convergence is that the spectral radius of the elementwise absolute value of the matrix underlying the Neumann series is smaller than one. This is a strictly weaker condition than currently exists. In addition, our new method is often faster than the standard algorithm. Through experiments, we demonstrate the potential for our method to reduce the time needed to solve linear equations by incorporating it into an outer iterative method.","2019-01","2022-09-17 17:35:39","2024-07-28 20:25:11","2022-09-17 17:35:39","A3449-A3475","","6","41","","SIAM J. Sci. Comput.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\UABEC4GQ\Wu en Gleich - 2019 - Multiway Monte Carlo Method for Linear Systems.pdf","","monte carlo; linear systems; random linear algebra; ♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9MBRHQS","journalArticle","2012","Ji, Hao; Li, Yaohang","Reusing Random Walks in Monte Carlo Methods for Linear Systems","Procedia Computer Science","","18770509","10.1016/j.procs.2012.04.041","https://linkinghub.elsevier.com/retrieve/pii/S1877050912001627","In this paper, we present an approach of reusing random walks in Monte Carlo methods for linear systems. The fundamental idea is, during the Monte Carlo sampling process, the random walks generated to estimate one unknown element can also be effectively reused to estimate the other unknowns in the solution vector. As a result, when the random walks are reused, a single random walk can contribute samples for estimations of multiple unknowns in the solution simultaneously while ensuring that the samples for the same unknown element are statistically independent. Consequently, the total number of random walk transition steps needed for estimating the overall solution vector is reduced, which improves the performance of the Monte Carlo algorithm. We apply this approach to the Monte Carlo algorithm in two linear algebra applications, including solving a system of linear equations and approximating the inversion of a matrix. Our computational results show that compared to the conventional implementations of Monte Carlo algorithms for linear systems without random walk reusing, our approach can significantly improve the performance of Monte Carlo sampling process by reducing the overall number of transition steps in random walks to obtain the entire solution within desired precision.","2012","2022-09-17 17:35:48","2024-07-28 20:26:14","2022-09-17 17:35:48","383-392","","","9","","Procedia Computer Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\G5YWGZPN\Ji en Li - 2012 - Reusing Random Walks in Monte Carlo Methods for Li.pdf","","monte carlo; linear systems; ♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QP5HLNL7","journalArticle","2016","Sabelfeld, Karl K.","Vector Monte Carlo stochastic matrix-based algorithms for large linear systems","Monte Carlo Methods and Applications","","0929-9629, 1569-3961","10.1515/mcma-2016-0112","https://www.degruyter.com/document/doi/10.1515/mcma-2016-0112/html","In this short article we suggest randomized scalable stochastic matrix-based algorithms for large linear systems. The idea behind these stochastic methods is a randomized vector representation of matrix iterations. In addition, to minimize the variance, it is suggested to use stochastic and double stochastic matrices for efficient randomized calculation of matrix iterations and a random gradient based search strategy. The iterations are performed by sampling random rows and columns only, thus avoiding not only matrix matrix but also matrix vector multiplications. Further improvements of the methods can be obtained through projections by a random gaussian matrix.","2016-01-01","2022-09-17 17:35:50","2024-07-28 20:30:55","2022-09-17 17:35:50","","","3","22","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\EX64VKZ2\Sabelfeld - 2016 - Vector Monte Carlo stochastic matrix-based algorit.pdf","","monte carlo; linear systems; random linear algebra; ♥♥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7WBIRH9","bookSection","2012","Bender, Christian; Steiner, Jessica","Least-Squares Monte Carlo for Backward SDEs","Numerical Methods in Finance","978-3-642-25745-2 978-3-642-25746-9","","","http://link.springer.com/10.1007/978-3-642-25746-9_8","In this paper we ﬁrst give a review of the least-squares Monte Carlo approach for approximating the solution of backward stochastic diﬀerential equations (BSDEs) ﬁrst suggested by Gobet, Lemor, and Warin (Ann. Appl. Probab., 15, 2005, 2172–2202). We then propose the use of basis functions, which form a system of martingales, and explain how the least-squares Monte Carlo scheme can be simpliﬁed by exploiting the martingale property of the basis functions. We partially compare the convergence behavior of the original scheme and the scheme based on martingale basis functions, and provide several numerical examples related to option pricing problems under diﬀerent interest rates for borrowing and investing.","2012","2022-09-17 18:49:45","2024-08-08 13:35:13","2022-09-17 18:49:45","257-289","","","12","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","Series Title: Springer Proceedings in Mathematics DOI: 10.1007/978-3-642-25746-9_8","","C:\Users\isido\Zotero\storage\4LPW4G2Q\Bender en Steiner - 2012 - Least-Squares Monte Carlo for Backward SDEs.pdf","","monte carlo; ♥; BSDE","","Carmona, René A.; Del Moral, Pierre; Hu, Peng; Oudjane, Nadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3JZU8UXC","preprint","2015","Deaconu, Madalina; Herrmann, Samuel; Maire, Sylvain","The walk on moving spheres: a new tool for simulating Brownian motion's exit time from a domain","","","","","http://arxiv.org/abs/1401.3695","In this paper we introduce a new method for the simulation of the exit time and exit position of a δ-dimensional Brownian motion from a domain. The main interest of our method is that it avoids splitting time schemes as well as inversion of complicated series. The method, called walk on moving spheres algorithm, was ﬁrst introduced for hitting times of Bessel processes. In this study this method is adapted and developed for the ﬁrst time for the Brownian motion hitting times. The idea is to use the connexion between the δdimensional Bessel process and the δ-dimensional Brownian motion thanks to an explicit Bessel hitting time distribution associated with a particular curved boundary. This allows to build a fast and accurate numerical scheme for approximating the hitting time. We introduce also an overview of existing methods for the simulation of the Brownian hitting time and perform numerical comparisons with existing methods.","2015-10-16","2022-09-17 18:51:56","2024-07-28 20:30:36","2022-09-17 18:51:56","","","","","","","The walk on moving spheres","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1401.3695 [math]","","C:\Users\isido\Zotero\storage\EIYVRXS7\Deaconu e.a. - 2015 - The walk on moving spheres a new tool for simulat.pdf","","monte carlo; PDE; walk on spheres; ♥♥","","","","","","","","","","","","","","","","","","","","arXiv:1401.3695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
